Lv,EXP
1,80
2,90
3,90
4,90
5,90
6,90
7,90
8,90
9,100
10,350
11,355
12,360
13,370
14,375
15,390
16,400
17,450
18,500
19,500
20,1483
21,1844
22,1865
23,1916
24,2043
25,2067
26,2169
27,2437
28,2536
29,2860
30,2995
31,3607
32,3794
33,3876
34,3996
35,4261
36,4289
37,4510
38,4928
39,5086
40,17203
41,19189
42,21484
43,21509
44,23052
45,24627
46,25480
47,26852
48,29068
49,32008
50,33168
51,33332
52,34095
53,35628
54,35929
55,37680
56,38331
57,38878
58,39016
59,41731
60,43128
61,45042
62,45412
63,47152
64,47282
65,47340
66,50487
67,53076
68,54257
69,54405
70,197114
71,310414
72,330204
73,334735
74,348791
75,360389
76,360701
77,362826
78,378632
79,379059
80,408765
81,440713
82,464670
83,467234
84,477970
85,484690
86,509874
87,513879
88,527583
89,532378
90,583801
91,612907
92,643189
93,644274
94,670957
95,678226
96,706678
97,712891
98,749807
99,751452
100,2904398
101,3027527
102,3032011
103,3117883
104,3191855
105,3220513
106,3258763
107,3346658
108,3389858
109,3548753
110,3631694
111,3771824
112,3796167
113,3866624
114,3924404
115,4029348
116,4101565
117,4245434
118,4245686
119,4514881
120,4566377
121,4752888
122,4866448
123,5012377
124,5016341
125,5178619
126,5229563
127,5423881
128,5459728
129,6335318
130,22859655
131,23541185
132,23587156
133,24290510
134,24337860
135,25112507
136,25161277
137,25962089
138,26062556
139,26920314
140,27780149
141,28608441
142,28773140
143,29687769
144,29800863
145,30864506
146,30980992
147,32025290
148,32205262
149,33270698
150,34387276
151,35609150
152,35871344
153,37143639
154,37211154
155,38460179
156,38529719
157,39822474
158,40037353
159,43248083
160,44969859
161,48762878
162,52604320
163,56396556
164,60225668
165,63980989
166,67994521
167,71934262
168,76039985
169,80194876
170,80600630
171,81009637
172,81415408
173,81685922
174,81821179
175,82226950
176,82632720
177,82903234
178,83309005
179,83714776
180,83985290
181,84388130
182,84658635
183,84929139
184,85334896
185,85605400
186,85875905
187,86281661
188,86552166
189,86822670
190,86957923
191,87237117
192,87507648
193,87913445
194,103526684
195,114131779
196,114434891
197,114586448
198,114889559
199,115192672
200,115344229
201,115928916
202,116231965
203,116686535
204,116838059
205,117444154
206,117747201
207,117898726
208,118353296
209,118656343
210,118807868
211,119120332
212,119271871
213,119726482
214,120029557
215,120181095
216,120484169
217,120787245
218,121090319
219,105899150
220,106656837
221,106969019
222,107120569
223,107423670
224,107726771
225,108332972
226,108484523
227,109242275
228,109545375
229,109696926
230,110000026
231,110293284
232,110444820
233,110747894
234,111050968
235,111657115
236,111808652
237,111960189
238,112263263
239,112414799
240,112717873
241,113019510
242,113322580
243,113625650
244,113777185
245,114080255
246,114080255
247,114231790
248,114231790
249,114383325
250,114498509
251,114534860
252,114649996
253,114649996
254,114649996
255,114649996
256,114649996
257,114649996
258,114649996
259,114649996
260,114649996
261,114649996
262,114649996
263,114649996
264,114649996
265,114649996
266,114649996
267,114649996
268,114649996
269,114649996
270,114649996
271,114649996
272,114649996
273,114649996
274,114649996
275,114649996
276,114649996
277,114649996
278,114649996
279,114649996
280,114649996
281,114649996
282,114649996
283,114649996
284,114649996
285,114649996
286,114649996
287,114649996
288,114649996
289,114649996
290,114649996
291,114649996
292,114649996
293,114649996
294,114649996
295,114649996
296,114649996
297,114649996
298,114649996
299,114649996
300,114649996
301,114649996
302,114649996
303,114649996
304,114649996
305,114649996
306,114649996
307,114649996
308,114649996
309,114649996
310,114649996
311,114649996
312,114649996
313,114649996
314,114649996
315,114649996
316,114649996
317,114649996
318,114649996
319,114649996
320,114649996
